name,team
HEPBURN Michael,Team BikeExchange - Jayco
HERMANS Ben,Israel - Premier Tech
HERMANS Quinten,Intermarché - Wanty - Gobert Matériaux
HERRADA Jesús,Cofidis
HERRADA José,Cofidis
HERREGODTS Rune,Sport Vlaanderen - Baloise
HESSMANN Michel,Jumbo-Visma
HESTERS Jules,Sport Vlaanderen - Baloise
HIGUITA Sergio,BORA - hansgrohe
HINDLEY Jai,BORA - hansgrohe
HINDSGAUL Jacob,Uno-X Pro Cycling Team
HIRSCHI Marc,UAE Team Emirates
HIRT Jan,Intermarché - Wanty - Gobert Matériaux
HIVERT Jonathan,B&B Hotels - KTM
HODEG Álvaro José,UAE Team Emirates
HOELGAARD Markus,Trek - Segafredo
HOFSTEDE Lennard,Jumbo-Visma
HOFSTETTER Hugo,Team Arkéa Samsic
HOLLENSTEIN Reto,Israel - Premier Tech
HOLLMANN Juri,Movistar Team
HOLMES Matthew,Lotto Soudal
HOLTER Ådne,Uno-X Pro Cycling Team
HOLTHER Trym Westgaard,Drone Hopper -  Androni Giocattoli
HONORÉ Mikkel Frølich,Quick-Step Alpha Vinyl Team
HOOLE Daan,Trek - Segafredo
HOULE Hugo,Israel - Premier Tech
HOWES Alex,EF Education-EasyPost
HOWSON Damien,Team BikeExchange - Jayco
HULGAARD Morten,Uno-X Pro Cycling Team
HUYS Laurens,Intermarché - Wanty - Gobert Matériaux
HVIDEBERG Jonas Iversby,Team DSM
HÄNNINEN Jaakko,AG2R Citroën Team
IMPEY Daryl,Israel - Premier Tech
IRIBAR Unai,Euskaltel - Euskadi
IRIZAR Julen,Euskaltel - Euskadi
IRVINE Declan,Team Novo Nordisk
ISASA Xabier,Euskaltel - Euskadi
ITURRIA Mikel,Euskaltel - Euskadi
IZAGIRRE Gorka,Movistar Team
IZAGIRRE Ion,Cofidis
JACOBS Johan,Movistar Team
JAIME Álex,Equipo Kern Pharma
JAKOBSEN Fabio,Quick-Step Alpha Vinyl Team
JANSE VAN RENSBURG Reinardt,Lotto Soudal
JANSEN Amund Grøndahl,Team BikeExchange - Jayco
JANSSENS Jimmy,Alpecin-Deceuninck
JAUREGUI Quentin,B&B Hotels - KTM
JENSEN August,Human Powered Health
JOHANNESSEN Anders Halland,Uno-X Pro Cycling Team
JOHANNESSEN Tobias Halland,Uno-X Pro Cycling Team
JOHANSEN Julius,Intermarché - Wanty - Gobert Matériaux
JOHNSTON Calum,Caja Rural - Seguros RGA
JONES Taj,Israel - Premier Tech
JORGENSON Matteo,Movistar Team
JOUSSEAUME Alan,TotalEnergies
JOYCE Colin,Human Powered Health
JUARISTI Txomin,Euskaltel - Euskadi
JULLIEN Anthony,AG2R Citroën Team
JUNGELS Bob,AG2R Citroën Team
JUUL-JENSEN Christopher,Team BikeExchange - Jayco
KAMP Alexander,Trek - Segafredo
KANGERT Tanel,Team BikeExchange - Jayco
KANTER Max,Movistar Team
KEISSE Iljo,Quick-Step Alpha Vinyl Team
KELDERMAN Wilco,BORA - hansgrohe
KEUKELEIRE Jens,EF Education-EasyPost
KING Ben,Human Powered Health
KIRSCH Alex,Trek - Segafredo
KLUGE Roger,Lotto Soudal
KNOX James,Quick-Step Alpha Vinyl Team
KOCH Jonas,BORA - hansgrohe
KOCHETKOV Pavel,Gazprom - RusVelo
KONOVALOVAS Ignatas,Groupama - FDJ
KONRAD Patrick,BORA - hansgrohe
KONYCHEV Alexander,Team BikeExchange - Jayco
KOOIJ Olav,Jumbo-Visma
KOPECKÝ Matyáš,Team Novo Nordisk
KORETZKY Victor,B&B Hotels - KTM
KRAGH ANDERSEN Asbjørn,Team DSM
KRAGH ANDERSEN Søren,Team DSM
KREDER Wesley,Cofidis
KRIEGER Alexander,Alpecin-Deceuninck
KRISTOFF Alexander,Intermarché - Wanty - Gobert Matériaux
KRON Andreas,Lotto Soudal
KRUIJSWIJK Steven,Jumbo-Visma
KRUL Wessel,Human Powered Health
KUDUS Merhawi,EF Education-EasyPost
KUKRLE Michael,Gazprom - RusVelo
KULSET Kristian,Uno-X Pro Cycling Team
KULSET Sindre,Uno-X Pro Cycling Team
KUSS Sepp,Jumbo-Visma
KUSZTOR Péter,Team Novo Nordisk
KWIATKOWSKI Michał,INEOS Grenadiers
